outlinks,inlinks
7.0,0.0
4.0,0.0
6.0,0.0
11.0,0.0
10.0,0.0
7.0,1.0
14.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
5.0,1.0
11.0,1.0
2.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,3.0
0.0,1.0
0.0,1.0
0.0,3.0
0.0,3.0
0.0,1.0
0.0,4.0
0.0,2.0
0.0,1.0
19.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
17.0,1.0
0.0,1.0
0.0,1.0
6.0,1.0
0.0,3.0
0.0,1.0
8.0,1.0
18.0,1.0
0.0,1.0
0.0,9.0
0.0,1.0
0.0,1.0
8.0,7.0
0.0,9.0
0.0,1.0
0.0,7.0
5.0,2.0
0.0,2.0
0.0,1.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,5.0
13.0,1.0
0.0,1.0
17.0,2.0
0.0,1.0
11.0,5.0
0.0,48.0
0.0,1.0
0.0,2.0
0.0,1.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
9.0,3.0
0.0,1.0
6.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
13.0,5.0
0.0,1.0
0.0,1.0
9.0,2.0
7.0,2.0
0.0,1.0
0.0,1.0
0.0,3.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,4.0
0.0,1.0
8.0,8.0
8.0,1.0
3.0,13.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
13.0,1.0
0.0,27.0
0.0,2.0
15.0,1.0
0.0,1.0
0.0,1.0
6.0,3.0
0.0,1.0
0.0,1.0
0.0,1.0
1.0,1.0
0.0,4.0
8.0,1.0
0.0,4.0
0.0,1.0
0.0,2.0
8.0,1.0
0.0,1.0
0.0,1.0
0.0,47.0
0.0,1.0
2.0,2.0
0.0,1.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,1.0
7.0,2.0
8.0,1.0
0.0,1.0
0.0,4.0
7.0,12.0
0.0,1.0
0.0,3.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
12.0,6.0
0.0,1.0
2.0,3.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
6.0,18.0
0.0,1.0
0.0,1.0
0.0,1.0
9.0,6.0
0.0,1.0
0.0,7.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,6.0
0.0,1.0
16.0,1.0
0.0,1.0
0.0,6.0
0.0,1.0
0.0,4.0
0.0,3.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
10.0,4.0
0.0,1.0
9.0,1.0
0.0,1.0
0.0,2.0
9.0,1.0
0.0,1.0
0.0,2.0
9.0,1.0
0.0,1.0
11.0,4.0
6.0,21.0
7.0,1.0
0.0,7.0
0.0,2.0
0.0,3.0
0.0,1.0
0.0,6.0
7.0,1.0
0.0,4.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,2.0
14.0,1.0
0.0,1.0
0.0,1.0
6.0,3.0
0.0,1.0
8.0,6.0
0.0,1.0
0.0,1.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
6.0,25.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,7.0
0.0,2.0
0.0,1.0
1.0,3.0
0.0,1.0
6.0,1.0
16.0,1.0
7.0,2.0
8.0,2.0
0.0,1.0
0.0,1.0
5.0,2.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,2.0
0.0,1.0
0.0,1.0
3.0,3.0
8.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,4.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
5.0,3.0
0.0,1.0
0.0,1.0
0.0,1.0
3.0,3.0
9.0,1.0
0.0,1.0
0.0,4.0
0.0,1.0
11.0,3.0
6.0,2.0
0.0,1.0
24.0,1.0
0.0,1.0
0.0,1.0
13.0,3.0
6.0,7.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
8.0,3.0
12.0,1.0
0.0,1.0
0.0,1.0
8.0,6.0
0.0,6.0
0.0,3.0
0.0,1.0
0.0,1.0
0.0,25.0
12.0,1.0
14.0,1.0
12.0,1.0
0.0,1.0
0.0,9.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,3.0
0.0,1.0
10.0,1.0
0.0,1.0
0.0,1.0
0.0,3.0
8.0,3.0
0.0,1.0
8.0,3.0
11.0,5.0
0.0,1.0
0.0,1.0
7.0,2.0
0.0,1.0
0.0,1.0
12.0,2.0
8.0,5.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
8.0,4.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,2.0
8.0,2.0
0.0,1.0
9.0,3.0
0.0,1.0
8.0,19.0
7.0,7.0
9.0,6.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,5.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,3.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,3.0
8.0,2.0
2.0,1.0
0.0,1.0
0.0,1.0
13.0,19.0
0.0,1.0
0.0,4.0
9.0,2.0
0.0,1.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
10.0,7.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
8.0,1.0
0.0,1.0
11.0,1.0
0.0,4.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
11.0,5.0
4.0,8.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,2.0
9.0,5.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,3.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
6.0,1.0
0.0,1.0
0.0,5.0
3.0,2.0
0.0,1.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,7.0
0.0,1.0
0.0,2.0
0.0,2.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,3.0
38.0,4.0
7.0,6.0
25.0,1.0
0.0,4.0
7.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
8.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
11.0,2.0
0.0,1.0
0.0,1.0
0.0,2.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,7.0
0.0,1.0
0.0,3.0
0.0,8.0
0.0,1.0
0.0,1.0
7.0,3.0
7.0,1.0
0.0,1.0
0.0,1.0
13.0,1.0
0.0,8.0
0.0,1.0
0.0,1.0
0.0,1.0
8.0,1.0
0.0,1.0
8.0,1.0
0.0,2.0
0.0,1.0
0.0,1.0
7.0,8.0
0.0,1.0
7.0,1.0
0.0,6.0
15.0,1.0
0.0,6.0
0.0,1.0
0.0,1.0
0.0,1.0
7.0,2.0
0.0,1.0
0.0,1.0
0.0,2.0
0.0,1.0
39.0,7.0
0.0,1.0
